route_path,city,route_family,index_state,stage,review_priority,move_trigger,next_action,next_review_on,notes
/tx/austin/approved-grease-haulers,Austin,approved_haulers,indexable,S1_WATCH,P2,authority list change or Austin grease demand signal,watch,2026-04-26,Support route for Austin grease workflow
/tx/austin/find-grease-service,Austin,find_grease_service,noindex-monitored,HOLD,P1,authority-backed provider evidence added,upgrade_provider_evidence,2026-04-21,Held until one provider card carries authority-backed local evidence
/tx/austin/find-hood-cleaner,Austin,find_hood_cleaner,indexable,S1_WATCH,P2,outbound clicks or Austin hood demand signal,watch,2026-04-26,High-intent next-action route but not part of the first review set
/tx/austin/restaurant-grease-trap-rules,Austin,fog_rules,indexable,S2_OPTIMIZE,P1,CTR weakness or position 8-20 on Austin grease cluster,rewrite_title_intro,2026-04-19,Primary Tier A rule page for Austin grease workflow
/tx/austin/hood-cleaning-requirements,Austin,hood_requirements,indexable,S1_WATCH,P2,hood demand signal or outbound clicks,watch,2026-04-26,Core Tier A hood page for Austin
/tx/austin/restaurant-fire-inspection-checklist,Austin,inspection_checklist,indexable,S1_WATCH,P3,seasonal inspection demand or CTA clicks,watch,2026-04-26,Core Tier A inspection page for Austin
/nc/charlotte/approved-grease-haulers,Charlotte,approved_haulers,indexable,S1_WATCH,P2,authority list refresh or Charlotte grease demand signal,watch,2026-04-26,Support route for Charlotte grease workflow
/nc/charlotte/find-grease-service,Charlotte,find_grease_service,indexable,S2_OPTIMIZE,P1,maintain demand and tighten next-action clarity,tighten_next_action,2026-04-19,Strongest current next-action demand route in the review set
/nc/charlotte/find-hood-cleaner,Charlotte,find_hood_cleaner,indexable,S1_WATCH,P2,outbound clicks or Charlotte hood demand signal,watch,2026-04-26,Watch hood demand before heavier optimization
/nc/charlotte/restaurant-grease-trap-rules,Charlotte,fog_rules,indexable,S2_OPTIMIZE,P1,grease cluster signal or CTR softness,add_internal_links,2026-04-19,Primary Tier A rule page supporting Charlotte grease workflow
/nc/charlotte/hood-cleaning-requirements,Charlotte,hood_requirements,indexable,S1_WATCH,P2,hood demand signal or CTA clicks,watch,2026-04-26,Core Tier A hood page for Charlotte
/nc/charlotte/restaurant-fire-inspection-checklist,Charlotte,inspection_checklist,indexable,S1_WATCH,P3,seasonal inspection demand or CTA clicks,watch,2026-04-26,Core Tier A inspection page for Charlotte
/ne/grand-island/approved-grease-haulers,Grand Island,approved_haulers,indexable,S1_WATCH,P4,authority list change or local demand signal,watch,2026-04-26,Maintain source safety without shifting focus away from the primary wedge
/ne/grand-island/find-grease-service,Grand Island,find_grease_service,indexable,S1_WATCH,P4,outbound clicks or local demand signal,watch,2026-04-26,Watch only until local demand justifies route-specific work
/ne/grand-island/find-hood-cleaner,Grand Island,find_hood_cleaner,indexable,S1_WATCH,P4,provider click signal or local hood demand,watch,2026-04-26,Weak hood slice relative to the primary wedge cities
/ne/grand-island/restaurant-grease-trap-rules,Grand Island,fog_rules,indexable,S1_WATCH,P4,local demand signal only,watch,2026-04-26,Keep source-safe and avoid unnecessary SEO work
/ne/grand-island/hood-cleaning-requirements,Grand Island,hood_requirements,indexable,S1_WATCH,P4,local hood demand signal only,watch,2026-04-26,Keep permit and final-inspection tone and avoid cadence-heavy edits
/ne/grand-island/restaurant-fire-inspection-checklist,Grand Island,inspection_checklist,indexable,S1_WATCH,P4,seasonal inspection demand only,watch,2026-04-26,Watch only and keep source-safe
/fl/miami/approved-grease-haulers,Miami,approved_haulers,indexable,S1_WATCH,P2,authority list refresh or Miami grease demand,watch,2026-04-26,Support route for Miami grease workflow
/fl/miami/find-grease-service,Miami,find_grease_service,noindex-monitored,HOLD,P1,authority-backed transporter evidence added,upgrade_provider_evidence,2026-04-21,Held until one transporter card carries authority-backed local evidence
/fl/miami/find-hood-cleaner,Miami,find_hood_cleaner,noindex-monitored,HOLD,P2,stronger local provider evidence added,upgrade_provider_evidence,2026-04-21,Held until one cleaner card carries stronger local paperwork evidence
/fl/miami/restaurant-grease-trap-rules,Miami,fog_rules,indexable,S2_OPTIMIZE,P1,CTR weakness or position 8-20 on Miami grease cluster,rewrite_title_intro,2026-04-19,Primary Tier A rule page for Miami grease workflow
